event,method,day,rolling_ll,z
Q-NC-3,mps_chi4,2,-38.86774255922902,1.8544399729576582
Q-NC-3,mps_chi4,3,-39.51284986817319,1.8042041884563622
Q-NC-3,mps_chi4,4,-50.102138072612824,0.9795953320926194
Q-NC-3,mps_chi4,5,-54.87391129785386,0.6080078952294479
Q-NC-3,mps_chi4,6,-53.18456536495599,0.7395606106561188
Q-NC-3,mps_chi4,7,-65.8546942033364,-0.24708742929597033
Q-NC-3,mps_chi4,8,-70.55016662034032,-0.6127331710229521
Q-NC-3,mps_chi4,9,-61.559445049344795,0.08739213385213436
Q-NC-3,mps_chi4,10,-70.0751376452738,-0.5757417234103527
Q-NC-3,mps_chi4,11,-83.79854960665529,-1.644411007351345
Q-NC-3,mps_chi4,12,-87.58396760001024,-1.939189007731999
Q-NC-3,mps_chi4,13,-88.90482256942721,-2.0420466016254815
Q-NC-3,mps_chi4,14,-81.4230634957909,-1.4594271966012913
Q-NC-3,mps_chi4,15,-74.3107177412627,-0.9055747387707344
Q-NC-3,mps_chi8,0,-67.05725113071583,-1.080938922506633
Q-NC-3,mps_chi8,1,-54.88213166920242,-0.07128839960219595
Q-NC-3,mps_chi8,2,-54.691909588320726,-0.05551378449165957
Q-NC-3,mps_chi8,3,-56.155283786468765,-0.17686754443097855
Q-NC-3,mps_chi8,4,-64.26895849334016,-0.8497131732861821
Q-NC-3,mps_chi8,5,-54.638421989513844,-0.05107819909350544
Q-NC-3,mps_chi8,6,-53.710153518209,0.025900655234067694
Q-NC-3,mps_chi8,7,-69.93665434505493,-1.319720231404675
Q-NC-3,mps_chi8,8,-80.88240474808748,-2.227422422987898
Q-NC-3,mps_chi8,9,-80.88240474808748,-2.227422422987898
Q-NC-3,mps_chi8,10,-83.94045120024103,-2.481018144101183
Q-NC-3,mps_chi8,11,-84.85169965790766,-2.5565855736190053
Q-NC-3,mps_chi8,12,-83.74999932988274,-2.4652244731558413
Q-NC-3,mps_chi8,13,-80.30882661505854,-2.1798571022721664
Q-NC-3,mps_chi8,14,-63.6757038120238,-0.8005161283536867
Q-NC-3,mps_chi8,15,-70.24819386369654,-1.3455553814330754
